Date,Open,High,Low,Close,Volume,Adj Close
2020-02-19,3.93,4.1,3.86,4.08,73256300.0,4.08
2020-02-20,4.1,4.4,4.01,4.26,86873500.0,4.26
2020-02-21,4.2,4.2,4.02,4.08,40425900.0,4.08
2020-02-24,3.79,3.94,3.76,3.88,56247100.0,3.88
2020-02-25,5.18,5.19,4.24,4.4,206259400.0,4.4
2020-02-26,4.5,4.71,4.3,4.34,69558500.0,4.34
2020-02-27,4.09,4.3,3.92,4.14,77846700.0,4.14
2020-02-28,3.96,4.14,3.87,4.13,63782000.0,4.13
2020-03-02,4.15,4.19,3.9,4.11,56063200.0,4.11
2020-03-03,4.08,4.21,3.95,4.06,47499300.0,4.06
2020-03-04,4.03,4.07,3.77,3.87,49465800.0,3.87
2020-03-05,3.78,3.89,3.68,3.72,72697800.0,3.72
2020-03-06,3.62,3.66,3.42,3.55,61238100.0,3.55
2020-03-09,3.01,3.54,2.99,3.29,55305300.0,3.29
2020-03-10,3.49,3.54,3.29,3.5,34928400.0,3.5
2020-03-11,3.4,3.53,3.26,3.32,31099400.0,3.32
2020-03-12,3.06,3.23,2.98,3.13,52438300.0,3.13
2020-03-13,3.28,3.33,2.99,3.11,41770400.0,3.11
2020-03-16,2.87,3.11,2.75,2.94,41266200.0,2.94
2020-03-17,2.97,3.12,2.79,2.9,34862200.0,2.9
2020-03-18,2.4,2.58,2.11,2.43,94431900.0,2.43
2020-03-19,2.3,2.55,2.23,2.38,35499000.0,2.38
2020-03-20,2.49,2.64,2.35,2.4,50528400.0,2.4
2020-03-23,2.34,2.37,2.15,2.37,47435200.0,2.37
2020-03-24,2.55,2.75,2.4,2.6,64750100.0,2.6
2020-03-25,2.72,2.99,2.6,2.76,56588300.0,2.76
2020-03-26,2.81,3.07,2.78,2.93,43579400.0,2.93
2020-03-27,2.85,2.89,2.76,2.84,25132000.0,2.84
2020-03-30,2.81,2.83,2.7,2.71,20115300.0,2.71
2020-03-31,2.83,2.88,2.68,2.78,30261400.0,2.78
2020-04-01,2.63,2.76,2.6,2.65,17153800.0,2.65
2020-04-02,2.51,2.59,2.22,2.39,58942700.0,2.39
2020-04-03,2.45,2.49,2.33,2.4,19519500.0,2.4
2020-04-06,2.48,2.55,2.4,2.47,34866700.0,2.47
2020-04-07,2.81,2.81,2.65,2.7,46149600.0,2.7
2020-04-08,2.76,2.8,2.71,2.74,18312900.0,2.74
2020-04-09,2.82,2.82,2.63,2.67,32810000.0,2.67
2020-04-13,2.67,2.97,2.63,2.97,38421700.0,2.97
2020-04-14,3.15,3.16,2.92,3.01,36479000.0,3.01
2020-04-15,2.95,3.2,2.88,3.2,27529800.0,3.2
2020-04-16,3.3,3.41,3.2,3.25,37801700.0,3.25
2020-04-17,3.36,3.36,3.15,3.21,22831800.0,3.21
2020-04-20,3.18,3.35,3.05,3.19,18691700.0,3.19
2020-04-21,3.1,3.22,3.01,3.02,19789700.0,3.02
2020-04-22,3.09,3.15,3.05,3.09,14539900.0,3.09
2020-04-23,3.2,3.2,3.05,3.06,17434200.0,3.06
2020-04-24,3.08,3.1,2.91,2.94,22126200.0,2.94
2020-04-27,3.0,3.26,2.95,3.24,35641100.0,3.24
2020-04-28,3.4,3.45,3.2,3.34,36326800.0,3.34
2020-04-29,3.83,3.98,3.59,3.61,89238800.0,3.61
2020-04-30,3.63,3.72,3.37,3.41,44388400.0,3.41
2020-05-01,3.3,3.33,3.12,3.18,31268900.0,3.18
2020-05-04,3.08,3.36,3.08,3.34,23387500.0,3.34
2020-05-05,3.44,3.48,3.28,3.28,22315800.0,3.28
2020-05-06,3.59,3.65,3.45,3.62,54347800.0,3.62
2020-05-07,3.63,3.67,3.52,3.63,26736700.0,3.63
2020-05-08,3.68,3.8,3.6,3.77,27861700.0,3.77
2020-05-11,3.72,3.77,3.66,3.74,16541000.0,3.74
2020-05-12,3.74,3.78,3.61,3.62,21943800.0,3.62
2020-05-13,3.64,3.68,3.32,3.44,34034700.0,3.44
2020-05-14,3.33,3.52,3.27,3.45,20936400.0,3.45
2020-05-15,3.37,3.45,3.36,3.37,13699000.0,3.37
2020-05-18,3.5,3.69,3.5,3.61,27830200.0,3.61
2020-05-19,3.62,3.75,3.59,3.69,21707400.0,3.69
2020-05-20,3.76,3.82,3.4,3.48,52056900.0,3.48
2020-05-21,3.4,3.44,3.23,3.33,41628400.0,3.33
2020-05-22,3.33,3.34,3.18,3.27,22887300.0,3.27
2020-05-26,3.42,3.83,3.4,3.82,59847900.0,3.82
2020-05-27,4.01,4.2,3.9,4.17,70718900.0,4.17
2020-05-28,3.98,4.12,3.75,3.83,62756900.0,3.83
2020-05-29,3.82,4.0,3.73,3.98,50395400.0,3.98
2020-06-01,4.0,4.33,3.96,4.26,69222000.0,4.26
2020-06-02,4.36,4.73,4.35,4.7,82476600.0,4.7
2020-06-03,5.0,5.7,4.98,5.6,199210000.0,5.6
2020-06-04,6.01,6.2,5.61,5.97,173052600.0,5.97
2020-06-05,6.03,6.08,5.52,5.59,90811800.0,5.59
2020-06-08,5.81,6.08,5.68,5.97,85951600.0,5.97
2020-06-09,5.84,6.83,5.76,6.68,136907900.0,6.68
2020-06-10,6.72,6.95,6.16,6.3,100170700.0,6.3
2020-06-11,5.79,6.09,5.66,5.91,126509700.0,5.91
2020-06-12,6.2,6.32,5.92,6.1,59687700.0,6.1
2020-06-15,5.97,6.99,5.92,6.83,113694400.0,6.83
2020-06-16,7.43,7.44,6.53,6.99,130478600.0,6.99
2020-06-17,6.93,6.98,6.58,6.84,58835800.0,6.84
2020-06-18,6.8,7.36,6.78,7.18,78846400.0,7.18
2020-06-19,7.36,7.63,7.23,7.34,84604200.0,7.34
2020-06-22,7.86,7.9,7.38,7.43,112976000.0,7.43
2020-06-23,7.55,7.69,7.19,7.23,79863500.0,7.23
2020-06-24,6.93,7.08,6.5,6.86,103888600.0,6.86
2020-06-25,6.66,7.15,6.6,7.08,46660300.0,7.08
2020-06-26,7.03,7.18,6.8,6.9,33596800.0,6.9
2020-06-29,6.98,7.25,6.71,7.23,46070400.0,7.23
2020-06-30,7.21,7.75,7.12,7.72,84485500.0,7.72
2020-07-01,7.79,7.99,7.67,7.91,64842600.0,7.91
2020-07-02,9.05,9.4,8.7,9.38,221496700.0,9.38
2020-07-06,11.05,12.3,10.93,11.51,329223800.0,11.51
2020-07-07,11.26,13.77,10.7,13.22,444070500.0,13.22
2020-07-08,14.1,15.28,12.0,12.88,570911400.0,12.88
2020-07-09,13.5,14.63,13.07,14.57,316792000.0,14.57
2020-07-10,15.61,15.73,14.2,14.98,318851300.0,14.98
2020-07-13,15.26,16.44,13.61,13.84,313460300.0,13.84
2020-07-14,13.25,14.13,12.42,14.09,196123200.0,14.09
2020-07-15,13.82,13.95,12.85,13.52,114603700.0,13.52
2020-07-16,12.46,13.16,12.45,12.94,134606300.0,12.94
2020-07-17,11.86,12.07,10.46,11.09,289518000.0,11.09
2020-07-20,11.42,12.84,11.38,12.82,155428100.0,12.82
2020-07-21,13.45,13.58,12.62,12.88,128389100.0,12.88
2020-07-22,12.38,12.83,11.81,12.38,112260500.0,12.38
2020-07-23,12.59,12.63,11.85,12.15,95206300.0,12.15
2020-07-24,11.38,11.9,10.91,11.82,93425300.0,11.82
2020-07-27,12.03,12.09,11.27,11.69,127441965.0,11.69
2020-07-28,11.48,12.64,11.38,12.27,90075800.0,12.27
2020-07-29,12.65,13.0,12.43,12.7,69552600.0,12.7
2020-07-30,12.62,12.95,12.07,12.2,64952900.0,12.2
2020-07-31,12.41,12.59,11.73,11.94,61813800.0,11.94
2020-08-03,12.53,13.67,12.46,13.6,244108700.0,13.6
2020-08-04,14.46,14.53,13.22,13.64,125731400.0,13.64
2020-08-05,13.41,14.08,13.37,13.92,60375000.0,13.92
2020-08-06,14.1,14.31,13.52,13.84,49787700.0,13.84
2020-08-07,13.54,13.73,13.2,13.42,57746000.0,13.42
2020-08-10,13.94,14.42,13.68,14.21,84267300.0,14.21
2020-08-11,15.3,15.45,12.94,12.99,181311500.0,12.99
2020-08-12,13.37,13.45,12.67,13.36,77471400.0,13.36
2020-08-13,13.45,13.64,13.17,13.36,50093500.0,13.36
2020-08-14,13.18,13.18,12.54,13.1,63250700.0,13.1
2020-08-17,13.07,14.05,13.06,14.05,78340500.0,14.05
2020-08-18,14.23,14.69,13.87,14.3,69962400.0,14.3
2020-08-19,14.29,14.41,13.85,14.06,41966800.0,14.06
2020-08-20,13.85,14.05,13.53,13.78,50072800.0,13.78
2020-08-21,13.64,14.58,13.62,14.12,70189900.0,14.12
2020-08-24,14.63,14.98,14.31,14.97,98697700.0,14.97
2020-08-25,15.08,17.870001,15.06,17.84,299047800.0,17.84
2020-08-26,19.01,20.969999,18.559999,20.440001,364104600.0,20.440001
2020-08-27,19.99,20.469999,18.76,19.879999,199850300.0,19.879999
2020-08-28,18.870001,19.440001,18.110001,18.5,155242300.0,18.5
2020-08-31,17.190001,19.83,16.82,19.030001,226610900.0,19.030001
2020-09-01,19.450001,20.379999,18.75,20.120001,137644800.0,20.120001
2020-09-02,20.92,21.049999,18.5,19.9,153460600.0,19.9
2020-09-03,19.09,19.84,18.35,18.700001,128358400.0,18.700001
2020-09-04,18.540001,19.18,15.61,17.98,163329800.0,17.98
2020-09-08,17.17,17.860001,16.51,17.030001,89624600.0,17.030001
2020-09-09,17.9,18.629999,17.700001,18.09,90988400.0,18.09
2020-09-10,18.49,18.719999,17.49,17.74,79679800.0,17.74
2020-09-11,18.0,18.1,17.450001,17.969999,55373500.0,17.969999
2020-09-14,18.18,18.780001,17.9,18.73,68234900.0,18.73
2020-09-15,19.1,20.25,18.879999,19.190001,111630500.0,19.190001
2020-09-16,19.27,19.540001,18.52,19.01,57671000.0,19.01
2020-09-17,18.26,19.33,18.08,19.299999,55186600.0,19.299999
2020-09-18,19.719999,19.879999,18.940001,19.41,54885500.0,19.41
2020-09-21,19.049999,19.27,17.66,18.809999,75969500.0,18.809999
2020-09-22,18.48,19.450001,18.370001,19.23,61061100.0,19.23
2020-09-23,19.219999,19.360001,17.799999,17.959999,70568100.0,17.959999
2020-09-24,17.32,18.389999,16.75,17.85,71069500.0,17.85
2020-09-25,18.02,18.620001,17.950001,18.32,44122100.0,18.32
2020-09-28,18.879999,19.16,18.43,18.809999,42786200.0,18.809999
2020-09-29,18.76,21.120001,18.709999,20.85,163159200.0,20.85
2020-09-30,21.719999,22.59,20.76,21.219999,183316600.0,21.219999
2020-10-01,21.68,21.959999,20.83,21.76,79117100.0,21.76
2020-10-02,20.83,22.200001,20.799999,21.18,92713600.0,21.18
2020-10-05,21.66,21.92,21.07,21.59,60860100.0,21.59
2020-10-06,21.709999,21.940001,20.6,20.67,73217100.0,20.67
2020-10-07,21.059999,21.77,20.790001,21.559999,59354300.0,21.559999
2020-10-08,22.049999,22.450001,21.290001,21.440001,77719600.0,21.440001
2020-10-09,21.620001,21.74,21.32,21.469999,37329000.0,21.469999
2020-10-12,21.879999,22.18,21.549999,21.85,45476800.0,21.85
2020-10-13,21.860001,21.969999,21.17,21.620001,42581500.0,21.620001
2020-10-14,23.98,26.959999,23.73,26.5,387903300.0,26.5
2020-10-15,27.200001,29.23,25.780001,28.07,385210600.0,28.07
2020-10-16,29.18,29.4,27.940001,28.48,186764700.0,28.48
2020-10-19,28.209999,28.559999,27.219999,27.629999,115708700.0,27.629999
2020-10-20,27.42,28.299999,27.049999,27.959999,105233400.0,27.959999
2020-10-21,27.9,28.43,27.389999,27.860001,65357900.0,27.860001
2020-10-22,28.15,28.280001,26.809999,27.379999,72173300.0,27.379999
2020-10-23,27.370001,27.42,26.48,27.16,51784000.0,27.16
2020-10-26,26.610001,27.35,25.459999,26.01,72610300.0,26.01
2020-10-27,26.209999,28.459999,26.030001,28.440001,104257700.0,28.440001
2020-10-28,27.92,28.1,26.51,27.51,89374900.0,27.51
2020-10-29,28.52,32.200001,28.32,31.99,214034700.0,31.99
2020-10-30,31.389999,31.59,30.030001,30.58,136607400.0,30.58
2020-11-02,33.950001,34.939999,31.68,33.32,265719900.0,33.32
2020-11-03,33.57,35.869999,32.779999,35.5,217608100.0,35.5
2020-11-04,37.439999,39.75,35.82,37.709999,339385900.0,37.709999
2020-11-05,38.779999,42.490002,38.25,42.349998,302472600.0,42.349998
2020-11-06,41.09,43.299999,40.049999,41.630001,288784300.0,41.630001
2020-11-09,41.650002,45.290001,40.380001,44.02,218733300.0,44.02
2020-11-10,44.5,45.200001,38.110001,41.549999,237403600.0,41.549999
2020-11-11,39.709999,43.23,38.639999,43.080002,179581200.0,43.080002
2020-11-12,44.48,49.349998,43.950001,48.299999,345932900.0,48.299999
2020-11-13,51.290001,54.200001,40.549999,44.560001,577185100.0,44.560001
2020-11-16,41.119999,45.849998,41.099998,45.580002,306209100.0,45.580002
2020-11-17,47.57,49.369999,44.959999,46.59,345578500.0,46.59
2020-11-18,45.75,46.720001,42.5,45.060001,271678300.0,45.060001
2020-11-19,45.360001,48.919998,44.68,48.450001,233779100.0,48.450001
2020-11-20,48.27,50.59,47.880001,49.25,208676000.0,49.25
2020-11-23,50.860001,55.700001,50.48,55.380001,270203000.0,55.380001
2020-11-24,56.990002,57.200001,51.5,53.509998,243669700.0,53.509998
2020-11-25,49.98,53.990002,49.25,53.689999,204508500.0,53.689999
2020-11-27,54.860001,55.549999,52.599998,54.0,105795100.0,54.0
2020-11-30,54.209999,54.389999,48.18,50.529999,178100600.0,50.529999
2020-12-01,52.02,52.099998,44.049999,45.360001,244446454.0,45.360001
