Date,Open,High,Low,Close,Volume,Adj. Close
2020-02-19,184.699997,188.955994,180.203995,183.483994,127115000.0,183.483994
2020-02-20,182.389999,182.399994,171.988007,179.882004,88174500.0,179.882004
2020-02-21,181.395996,182.612,176.089996,180.199997,71574000.0,180.199997
2020-02-24,167.800003,172.699997,164.440002,166.757996,75961000.0,166.757996
2020-02-25,169.800003,171.320007,157.399994,159.981995,86452500.0,159.981995
2020-02-26,156.5,162.662003,155.222,155.759995,70427500.0,155.759995
2020-02-27,146.0,147.953995,133.800003,135.800003,121386000.0,135.800003
2020-02-28,125.940002,138.104004,122.304001,133.598007,122821000.0,133.598007
2020-03-02,142.251999,148.738007,137.334,148.723999,100975000.0,148.723999
2020-03-03,161.0,161.395996,143.222,149.102005,128920000.0,149.102005
2020-03-04,152.792007,153.304001,144.945999,149.899994,75245000.0,149.899994
2020-03-05,144.753998,149.149994,143.613998,144.908005,54263500.0,144.908005
2020-03-06,138.0,141.399994,136.854004,140.695999,63314500.0,140.695999
2020-03-09,121.078003,132.600006,121.0,121.599998,85368500.0,121.599998
2020-03-10,131.886002,133.600006,121.599998,129.065994,77972000.0,129.065994
2020-03-11,128.039993,130.716003,122.599998,126.846001,66612500.0,126.846001
2020-03-12,116.178001,118.900002,109.25,112.110001,94545500.0,112.110001
2020-03-13,119.0,121.514,100.400002,109.323997,113201500.0,109.323997
2020-03-16,93.900002,98.973999,88.433998,89.014,102447500.0,89.014
2020-03-17,88.001999,94.370003,79.199997,86.040001,119973000.0,86.040001
2020-03-18,77.800003,80.972,70.101997,72.244003,118931000.0,72.244003
2020-03-19,74.940002,90.400002,71.692001,85.528,150977500.0,85.528
2020-03-20,87.639999,95.400002,85.157997,85.505997,141427500.0,85.505997
2020-03-23,86.720001,88.400002,82.099998,86.858002,82272500.0,86.858002
2020-03-24,95.459999,102.737999,94.800003,101.0,114476000.0,101.0
2020-03-25,109.050003,111.400002,102.222,107.849998,106113500.0,107.849998
2020-03-26,109.477997,112.0,102.449997,105.632004,86903500.0,105.632004
2020-03-27,101.0,105.160004,98.806,102.872002,71887000.0,102.872002
2020-03-30,102.052002,103.330002,98.246002,100.426003,59990500.0,100.426003
2020-03-31,100.25,108.592003,99.400002,104.800003,88857500.0,104.800003
2020-04-01,100.800003,102.790001,95.019997,96.311996,66766000.0,96.311996
2020-04-02,96.206001,98.851997,89.279999,90.893997,99292000.0,90.893997
2020-04-03,101.900002,103.098,93.678001,96.001999,22562100.0,96.001999
2020-04-06,102.239998,104.199997,99.592003,103.248001,14901800.0,103.248001
2020-04-07,109.0,113.0,106.468002,109.089996,17919800.0,109.089996
2020-04-08,110.839996,111.442001,106.666,109.767998,12656000.0,109.767998
2020-04-09,112.417999,115.036003,111.421997,114.599998,13650000.0,114.599998
2020-04-13,118.031998,130.399994,116.106003,130.190002,22475400.0,130.190002
2020-04-14,139.794006,148.376007,138.485992,141.977997,30576500.0,141.977997
2020-04-15,148.399994,150.626007,142.0,145.966003,23577000.0,145.966003
2020-04-16,143.388,151.889999,141.343994,149.042007,20657900.0,149.042007
2020-04-17,154.455994,154.990005,149.531998,150.778,13128200.0,150.778
2020-04-20,146.539993,153.113998,142.442001,149.272003,14746600.0,149.272003
2020-04-21,146.024002,150.666,134.757996,137.343994,20209100.0,137.343994
2020-04-22,140.796005,146.800003,137.742004,146.421997,14224800.0,146.421997
2020-04-23,145.520004,146.800003,140.626007,141.126007,13236700.0,141.126007
2020-04-24,142.162003,146.145996,139.636002,145.029999,13237600.0,145.029999
2020-04-27,147.522003,159.897995,147.0,159.75,20681400.0,159.75
2020-04-28,159.128006,161.0,151.337997,153.824005,15222000.0,153.824005
2020-04-29,158.033997,160.639999,156.632004,160.102005,16216000.0,160.102005
2020-04-30,171.037994,173.964005,152.699997,156.376007,28471900.0,156.376007
2020-05-01,151.0,154.554001,136.608002,140.264008,32531800.0,140.264008
2020-05-04,140.199997,152.399994,139.600006,152.238007,19237100.0,152.238007
2020-05-05,157.957993,159.783997,152.436005,153.641998,16991700.0,153.641998
2020-05-06,155.300003,157.960007,152.222,156.516006,11123200.0,156.516006
2020-05-07,155.442001,159.279999,154.470001,156.007996,11527700.0,156.007996
2020-05-08,158.753998,164.800003,157.401993,163.884003,16130100.0,163.884003
2020-05-11,158.102005,164.800003,157.0,162.257996,16519600.0,162.257996
2020-05-12,165.399994,168.658005,161.600006,161.882004,15906900.0,161.882004
2020-05-13,164.166,165.199997,152.660004,158.192001,19065500.0,158.192001
2020-05-14,156.0,160.671997,152.800003,160.666,13682200.0,160.666
2020-05-15,158.070007,161.009995,157.309998,159.834,10518400.0,159.834
2020-05-18,165.556,166.944,160.776001,162.725998,11698100.0,162.725998
2020-05-19,163.033997,164.414001,161.216003,161.602005,9636500.0,161.602005
2020-05-20,164.100006,165.199997,162.360001,163.112,7309300.0,163.112
2020-05-21,163.199997,166.5,159.199997,165.520004,12254600.0,165.520004
2020-05-22,164.434006,166.356003,162.399994,163.376007,9987500.0,163.376007
2020-05-26,166.899994,166.919998,163.141998,163.774002,8089700.0,163.774002
2020-05-27,164.171997,165.542007,157.0,164.046005,11549500.0,164.046005
2020-05-28,162.701996,164.949997,160.337997,161.162003,7255600.0,161.162003
2020-05-29,161.75,167.0,160.841995,167.0,11764500.0,167.0
2020-06-01,171.600006,179.800003,170.820007,179.619995,74697500.0,179.619995
2020-06-02,178.940002,181.731995,174.199997,176.311996,67828000.0,176.311996
2020-06-03,177.623993,179.587997,176.020004,176.591995,39747500.0,176.591995
2020-06-04,177.975998,179.149994,171.688004,172.876007,44438500.0,172.876007
2020-06-05,175.567993,177.304001,173.240005,177.132004,39059500.0,177.132004
2020-06-08,183.800003,190.0,181.832001,189.983994,70873500.0,189.983994
2020-06-09,188.001999,190.888,184.785995,188.134003,56941000.0,188.134003
2020-06-10,198.376007,205.496002,196.5,205.009995,92817000.0,205.009995
2020-06-11,198.039993,203.792007,194.399994,194.567993,79582500.0,194.567993
2020-06-12,196.0,197.595993,182.520004,187.056,83817000.0,187.056
2020-06-15,183.557999,199.768005,181.699997,198.179993,78486000.0,198.179993
2020-06-16,202.369995,202.576004,192.477997,196.425995,70255500.0,196.425995
2020-06-17,197.542007,201.0,196.514008,198.358002,49454000.0,198.358002
2020-06-18,200.600006,203.839996,198.893997,200.792007,48759500.0,200.792007
2020-06-19,202.556,203.194,198.268005,200.179993,43398500.0,200.179993
2020-06-22,199.990005,201.776001,198.003998,198.863998,31812000.0,198.863998
2020-06-23,199.776001,202.399994,198.802002,200.356003,31826500.0,200.356003
2020-06-24,198.822006,200.175995,190.628006,192.169998,54798000.0,192.169998
2020-06-25,190.854004,197.195999,187.429993,197.195999,46272500.0,197.195999
2020-06-26,198.955994,199.0,190.973999,191.947998,44274500.0,191.947998
2020-06-29,193.802002,202.0,189.703995,201.869995,45132000.0,201.869995
2020-06-30,201.300003,217.537994,200.746002,215.962006,84592500.0,215.962006
2020-07-01,216.600006,227.065994,216.100006,223.925995,66634500.0,223.925995
2020-07-02,244.296005,245.600006,237.119995,241.731995,86250500.0,241.731995
2020-07-06,255.337997,275.558014,253.207993,274.31601,102849500.0,274.31601
2020-07-07,281.002014,285.899994,267.34201,277.971985,107448500.0,277.971985
2020-07-08,281.0,283.451996,262.268005,273.175995,81556500.0,273.175995
2020-07-09,279.39801,281.712006,270.256012,278.855988,58588000.0,278.855988
2020-07-10,279.200012,309.783997,275.201996,308.929993,116688000.0,308.929993
2020-07-13,331.799988,358.997986,294.221985,299.411987,194927000.0,299.411987
2020-07-14,311.200012,318.0,286.200012,303.359985,117090500.0,303.359985
2020-07-15,308.600006,310.0,291.399994,309.201996,81839000.0,309.201996
2020-07-16,295.432007,306.34201,293.200012,300.127991,71504000.0,300.127991
2020-07-17,302.690002,307.502014,298.0,300.167999,46650000.0,300.167999
2020-07-20,303.802002,330.0,297.600006,328.600006,85607000.0,328.600006
2020-07-21,327.985992,335.0,311.600006,313.671997,80786500.0,313.671997
2020-07-22,319.799988,325.283997,312.399994,318.466003,70805500.0,318.466003
2020-07-23,335.790009,337.799988,296.153992,302.614014,121642500.0,302.614014
2020-07-24,283.201996,293.0,273.308014,283.399994,96983000.0,283.399994
2020-07-27,287.0,309.588013,282.600006,307.920013,80243500.0,307.920013
2020-07-28,300.799988,312.940002,294.884003,295.298004,79043500.0,295.298004
2020-07-29,300.200012,306.962006,297.399994,299.821991,47134500.0,299.821991
2020-07-30,297.600006,302.64801,294.200012,297.497986,38105000.0,297.497986
2020-07-31,303.0,303.410004,284.196014,286.152008,61235000.0,286.152008
2020-08-03,289.839996,301.962006,288.876007,297.0,44046500.0,297.0
2020-08-04,299.002014,305.481995,292.399994,297.399994,42075000.0,297.399994
2020-08-05,298.597992,299.967987,293.661987,297.003998,24890000.0,297.003998
2020-08-06,298.165985,303.462006,295.451996,297.915985,29961500.0,297.915985
2020-08-07,299.90799,299.950012,283.002014,290.541992,44482000.0,290.541992
2020-08-10,289.600006,291.5,277.167999,283.713989,37611500.0,283.713989
2020-08-11,279.200012,284.0,273.0,274.877991,43129000.0,274.877991
2020-08-12,294.0,317.0,287.0,310.951996,109494000.0,310.951996
2020-08-13,322.200012,330.235992,313.451996,324.200012,102126500.0,324.200012
2020-08-14,332.997986,333.76001,325.328003,330.141998,62888000.0,330.141998
2020-08-17,335.399994,369.171997,334.56601,367.127991,101211500.0,367.127991
2020-08-18,379.798004,384.779999,369.022003,377.417999,82372500.0,377.417999
2020-08-19,373.0,382.200012,368.242004,375.705994,61026500.0,375.705994
2020-08-20,372.135986,404.39801,371.411987,400.365997,103059000.0,400.365997
2020-08-21,408.951996,419.097992,405.01001,409.996002,107448000.0,409.996002
2020-08-24,425.256012,425.799988,385.503998,402.839996,100318000.0,402.839996
2020-08-25,394.977997,405.589996,393.600006,404.667999,53294500.0,404.667999
2020-08-26,412.0,433.200012,410.726013,430.634003,71197000.0,430.634003
2020-08-27,436.09201,459.119995,428.5,447.75,118465000.0,447.75
2020-08-28,459.023987,463.697998,437.303986,442.679993,100406000.0,442.679993
2020-08-31,444.609985,500.140015,440.109985,498.320007,118374400.0,498.320007
2020-09-01,502.140015,502.48999,470.51001,475.049988,90119400.0,475.049988
2020-09-02,478.98999,479.040009,405.119995,447.369995,96176100.0,447.369995
2020-09-03,407.230011,431.799988,402.0,407.0,87596100.0,407.0
2020-09-04,402.809998,428.0,372.019989,418.320007,110321900.0,418.320007
2020-09-08,356.0,368.73999,329.880005,330.209991,115465700.0,330.209991
2020-09-09,356.600006,369.0,341.51001,366.279999,79465800.0,366.279999
2020-09-10,386.209991,398.98999,360.559998,371.339996,84930600.0,371.339996
2020-09-11,381.940002,382.5,360.5,372.720001,60717500.0,372.720001
2020-09-14,380.950012,420.0,373.299988,419.619995,83020600.0,419.619995
2020-09-15,436.559998,461.940002,430.700012,449.76001,97298200.0,449.76001
2020-09-16,439.869995,457.790009,435.309998,441.76001,72279300.0,441.76001
2020-09-17,415.600006,437.790009,408.0,423.429993,76779200.0,423.429993
2020-09-18,447.940002,451.0,428.799988,442.149994,86406800.0,442.149994
2020-09-21,453.130005,455.679993,407.070007,449.390015,109476800.0,449.390015
2020-09-22,429.600006,437.76001,417.600006,424.230011,79580800.0,424.230011
2020-09-23,405.160004,412.149994,375.880005,380.359985,95074200.0,380.359985
2020-09-24,363.799988,399.5,351.299988,387.790009,96561100.0,387.790009
2020-09-25,393.470001,408.730011,391.299988,407.339996,67208500.0,407.339996
2020-09-28,424.619995,428.079987,415.549988,421.200012,49719600.0,421.200012
2020-09-29,416.0,428.5,411.600006,419.070007,50219300.0,419.070007
2020-09-30,421.320007,433.929993,420.470001,429.01001,48145600.0,429.01001
2020-10-01,440.76001,448.880005,434.420013,448.160004,50741500.0,448.160004
2020-10-02,421.390015,439.130005,415.0,415.089996,71430000.0,415.089996
2020-10-05,423.350006,433.640015,419.329987,425.679993,44722800.0,425.679993
2020-10-06,423.790009,428.779999,406.049988,413.980011,49146300.0,413.980011
2020-10-07,419.869995,429.899994,413.850006,425.299988,43127700.0,425.299988
2020-10-08,438.440002,439.0,425.299988,425.920013,40421100.0,425.920013
2020-10-09,430.130005,434.589996,426.459991,434.0,28925700.0,434.0
2020-10-12,442.0,448.73999,438.579987,442.299988,38791100.0,442.299988
2020-10-13,443.350006,448.890015,436.600006,446.649994,34463700.0,446.649994
2020-10-14,449.779999,465.899994,447.350006,461.299988,48045400.0,461.299988
2020-10-15,450.309998,456.570007,442.5,448.880005,35672400.0,448.880005
2020-10-16,454.440002,455.950012,438.850006,439.670013,32775900.0,439.670013
2020-10-19,446.23999,447.0,428.869995,430.829987,36287800.0,430.829987
2020-10-20,431.75,431.75,419.049988,421.940002,31656300.0,421.940002
2020-10-21,422.700012,432.950012,421.25,422.640015,32370500.0,422.640015
2020-10-22,441.920013,445.230011,424.51001,425.790009,39993200.0,425.790009
2020-10-23,421.839996,422.890015,407.380005,420.630005,33717000.0,420.630005
2020-10-26,411.630005,425.76001,410.0,420.279999,28239200.0,420.279999
2020-10-27,423.76001,430.5,420.100006,424.679993,22686500.0,424.679993
2020-10-28,416.480011,418.600006,406.0,406.019989,25451400.0,406.019989
2020-10-29,409.959991,418.059998,406.459991,410.829987,22655300.0,410.829987
2020-10-30,406.899994,407.589996,379.109985,388.040009,42511300.0,388.040009
2020-11-02,394.0,406.980011,392.299988,400.51001,29021100.0,400.51001
2020-11-03,409.730011,427.769989,406.690002,423.899994,34351700.0,423.899994
2020-11-04,430.619995,435.399994,417.100006,420.980011,32143100.0,420.980011
2020-11-05,428.299988,440.0,424.0,438.089996,28414500.0,438.089996
2020-11-06,436.100006,436.570007,424.279999,429.950012,21706000.0,429.950012
2020-11-09,439.5,452.5,421.0,421.26001,34833000.0,421.26001
2020-11-10,420.089996,420.089996,396.029999,410.359985,30284200.0,410.359985
2020-11-11,416.450012,418.700012,410.579987,417.130005,17357700.0,417.130005
2020-11-12,415.049988,423.0,409.519989,411.76001,19855100.0,411.76001
2020-11-13,410.850006,412.529999,401.660004,408.5,19771100.0,408.5
2020-11-16,408.929993,412.450012,404.089996,408.089996,26838600.0,408.089996
2020-11-17,460.170013,462.0,433.01001,441.609985,61188300.0,441.609985
2020-11-18,448.350006,496.0,443.5,486.640015,78044000.0,486.640015
2020-11-19,492.0,508.609985,487.570007,499.269989,62475300.0,499.269989
2020-11-20,497.98999,502.5,489.059998,489.609985,32807300.0,489.609985
2020-11-23,503.5,526.0,501.790009,521.849976,50260300.0,521.849976
2020-11-24,540.400024,559.98999,526.200012,555.380005,53648500.0,555.380005
2020-11-25,550.059998,574.0,545.369995,574.0,48930200.0,574.0
2020-11-27,581.159973,598.780029,578.450012,585.76001,37561100.0,585.76001
2020-11-30,602.210022,607.799988,554.51001,567.599976,62502300.0,567.599976
2020-12-01,597.590027,597.849976,572.049988,584.76001,38689894.0,584.76001
